ID;A_Nacimiento;Educacion;Estado Civil;Ingreso_medio;Hijos;Adolescentes;Fec_Cliente;Edad;MntVinos;MntFrutas;MntCarnes;MntPescados;MntDulces;MntPremiumProd;NumComprasPresenc;NumComprasWeb;NumComprasCatalog;NumComprasemail;NumWebVisitasMes;AcceptedCmp1;AcceptedCmp2;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;Reclamos;Z_Costo_Contacto;Facturado;Z_Utilidad;Tkt_prom;Respuesta
5524;1957;Graduado;Soltero;58138;0;0;04/09/2012;37;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;0;1617;485.1;50.53;0
2174;1954;Graduado;Soltero;46344;1;1;08/03/2014;62;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0;27;8.1;2.45;0
4141;1965;Graduado;Conviviente;71613;0;0;21/08/2013;50;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0;776;232.8;31.04;0
6182;1984;Graduado;Conviviente;26646;1;0;10/02/2014;65;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0;53;15.9;3.79;0
5324;1981;PhD;Casado;58293;1;0;19/01/2014;73;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0;422;126.6;17.58;0
7446;1967;Master;Conviviente;62513;0;1;09/09/2013;78;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0;716;214.8;25.57;0
965;1971;Graduado;Divorciado;55635;0;1;13/11/2012;62;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0;590;177;21.85;0
6177;1985;PhD;Casado;33454;1;0;08/05/2013;67;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0;169;50.7;9.39;0
4855;1974;PhD;Conviviente;30351;1;0;06/06/2013;40;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;0;46;13.8;3.07;0
5899;1950;PhD;Conviviente;5648;1;1;13/03/2014;20;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;50;49;29.7;2.23;1
1994;1983;Graduado;Casado;;1;0;15/11/2013;19;10;5;6;0;2;10;1;1;0;2;7;0;0;0;0;0;0;0;33;9.9;3.00;0
387;1976;Secundaria;Casado;7500;0;0;13/11/2012;62;5;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0;60;18;4.29;0
2125;1959;Graduado;Divorciado;63033;0;0;15/11/2013;54;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;0;1102;330.6;61.22;0
8180;1952;Master;Divorciado;59354;1;1;15/11/2013;63;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0;310;93;14.76;0
2569;1987;Graduado;Casado;17323;0;0;10/10/2012;61;5;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0;48;14.4;3.69;0
2114;1946;PhD;Soltero;82800;0;0;24/11/2012;56;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;100;1315;424.5;45.34;1
9736;1980;Graduado;Casado;41850;1;1;24/12/2012;19;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0;96;28.8;5.65;0
4939;1946;Graduado;Conviviente;37760;0;0;31/08/2012;33;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;0;317;95.1;15.85;0
6565;1949;Master;Casado;76995;0;1;28/03/2013;74;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;0;50;1782;549.6;57.48;1
2278;1985;Postgrado;Soltero;33812;1;0;03/11/2012;30;5;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;0;134;40.2;9.57;0
9360;1982;Graduado;Casado;37040;0;0;08/08/2012;40;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;0;316;94.8;15.80;0
5376;1979;Graduado;Casado;2447;1;0;06/01/2013;26;10;1;1725;15;1;10;15;0;28;0;1;0;0;0;0;0;0;0;1762;528.6;40.05;0
1993;1949;PhD;Casado;58607;0;1;23/12/2012;35;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;50;972;306.6;38.88;1
4047;1954;PhD;Casado;65324;0;1;11/01/2014;29;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;0;544;163.2;22.67;0
1409;1951;Graduado;Conviviente;40689;0;1;18/03/2013;19;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;0;444;133.2;15.86;0
7892;1969;Graduado;Soltero;18589;0;0;02/01/2013;39;5;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;0;74;22.2;4.93;0
2404;1976;Graduado;Casado;53359;1;1;27/05/2013;41;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0;257;77.1;12.24;0
5255;1986;Graduado;Soltero;;1;0;20/02/2013;66;20;1;3;3;263;362;0;27;0;0;1;0;0;0;0;0;0;0;652;195.6;23.29;0
9422;1989;Graduado;Casado;38360;1;0;31/05/2013;80;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;0;131;39.3;10.92;0
1966;1965;PhD;Casado;84618;0;0;22/11/2013;62;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;0;50;1672;516.6;59.71;1
6864;1989;Master;Divorciado;10979;0;0;22/05/2014;27;10;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0;32;9.6;2.46;0
3033;1963;Master;Conviviente;38620;0;0;11/05/2013;35;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;318;95.4;22.71;0
5710;1970;Graduado;Conviviente;40548;0;1;10/10/2012;37;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;50;120;51;8.57;1
7373;1952;PhD;Divorciado;46610;0;2;29/10/2012;60;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;0;302;90.6;13.13;0
8755;1946;Master;Casado;68657;0;0;20/02/2013;23;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;0;1196;358.8;47.84;0
10738;1951;Master;Soltero;49389;1;1;29/08/2013;56;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;0;65;19.5;5.00;0
4339;1970;PhD;Casado;67353;0;1;31/12/2013;12;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;0;913;273.9;30.43;0
10755;1976;Postgrado;Casado;23718;1;0;02/09/2013;25;15;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;0;90;27;5.63;0
8595;1973;Graduado;Divorciada;42429;0;1;11/02/2014;43;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;0;67;20.1;5.58;0
2968;1943;PhD;Divorciado;48948;0;0;01/02/2013;68;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;50;902;285.6;30.07;1
8601;1980;Graduado;Casado;80011;0;1;29/04/2013;24;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;0;1395;418.5;55.80;0
503;1985;Master;Casado;20559;1;0;12/03/2013;52;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;0;53;15.9;3.53;0
8430;1957;Graduado;Conviviente;21994;0;1;24/12/2012;67;15;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;0;28;8.4;3.11;0
7281;1959;PhD;Soltero;;0;0;05/11/2013;80;81;11;50;3;2;39;1;1;3;4;2;0;0;0;0;0;0;0;186;55.8;16.91;0
2139;1975;Master;Casado;7500;1;0;02/10/2013;24;5;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;0;33;9.9;2.54;0
1371;1976;Graduado;Soltero;79941;0;0;28/06/2014;25;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;0;984;295.2;57.88;0
9909;1996;Postgrado;Casado;7500;0;0;09/11/2012;22;5;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;0;124;37.2;6.53;0
7286;1968;Graduado;Conviviente;41728;1;0;24/05/2013;41;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;0;55;16.5;3.67;0
7244;1951;Graduado;Soltero;;2;1;01/01/2014;64;48;5;48;6;10;7;3;2;1;4;6;0;0;0;0;0;0;0;124;37.2;7.75;0
6566;1954;PhD;Casado;72550;1;1;08/11/2012;73;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;0;1319;395.7;36.64;0
8614;1957;Graduado;Divorciada;65486;0;1;12/05/2014;56;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;0;507;152.1;26.68;0
4114;1964;Master;Casado;79143;0;0;11/08/2012;64;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;0;1693;507.9;52.91;0
1331;1977;Graduado;Soltero;35790;1;0;02/01/2013;66;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;0;72;21.6;5.14;0
2225;1977;Graduado;Divorciado;82582;0;0;07/06/2014;25;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;100;1617;515.1;73.50;1
9381;1978;Graduado;Casado;66373;1;1;12/06/2013;21;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;0;606;181.8;23.31;0
6260;1955;Master;Conviviente;82384;0;0;19/11/2012;27;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;50;1957;602.1;69.89;1
10383;1966;Graduado;Divorciado;70287;0;0;02/04/2013;70;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;0;1093;327.9;45.54;0
7437;1988;Graduado;Soltero;27938;1;0;28/04/2014;23;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;0;29;8.7;3.22;0
8557;1982;Graduado;Soltero;;1;0;17/06/2013;59;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;0;0;46;13.8;3.54;0
8375;1968;PhD;Casado;55954;0;1;03/03/2014;68;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;0;518;155.4;19.92;0
6853;1982;Master;Soltero;75777;0;0;04/07/2013;74;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;100;1438;461.4;65.36;1
3076;1975;Graduado;Conviviente;66653;1;1;07/09/2012;30;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;0;612;183.6;24.48;0
1012;1952;Graduado;Soltero;61823;0;1;18/02/2013;22;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;0;884;265.2;28.52;0
6518;1951;PhD;Divorciada;67680;0;1;11/06/2013;42;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;0;606;181.8;25.25;0
4137;1948;Graduado;Conviviente;70666;0;0;06/12/2013;34;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;0;1076;322.8;53.80;0
8082;1971;Graduado;Casado;25721;1;0;21/05/2013;37;10;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;0;43;12.9;3.58;0
1386;1967;Graduado;Conviviente;32474;1;1;11/05/2014;75;10;0;10;0;0;0;1;1;0;2;7;0;0;0;0;0;0;0;20;6;1.82;0
9369;1979;Postgrado;Soltero;88194;0;1;19/03/2014;27;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;0;100;1274;412.2;34.43;1
4477;1958;Graduado;Conviviente;69096;0;1;27/09/2013;19;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;0;653;195.9;29.68;0
1357;1970;Graduado;Conviviente;74854;1;2;08/04/2013;79;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;0;1562;468.6;65.08;0
1402;1954;Master;Casado;66991;0;0;11/09/2012;22;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;0;1253;375.9;52.21;0
10629;1973;Postgrado;Casado;;1;0;14/09/2012;31;25;3;43;17;4;17;3;3;0;3;8;0;0;0;0;0;0;0;109;32.7;6.41;0
6312;1959;Graduado;Casado;65031;0;1;17/03/2013;55;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;0;863;258.9;23.32;0
8132;1975;PhD;Casado;60631;1;1;05/04/2013;62;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;50;661;213.3;21.32;1
1050;1952;Graduado;Casado;28332;0;0;30/04/2014;25;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;0;65;19.5;6.50;0
5846;1977;Graduado;Divorciado;40246;1;0;19/12/2012;28;10;1;6;7;1;10;1;1;0;2;6;0;0;0;0;0;0;0;35;10.5;3.50;0
1859;1972;Master;Casado;75251;0;0;27/08/2012;33;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;0;1890;567;78.75;0
7503;1976;Graduado;Soltero;75825;0;0;12/10/2012;77;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;0;50;2209;677.7;84.96;1
10401;1976;Postgrado;Conviviente;26326;0;0;04/09/2013;49;5;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;0;22;6.6;3.14;0
1618;1965;Graduado;Conviviente;56046;0;0;02/01/2013;74;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;50;692;222.6;23.86;1
3332;1985;Graduado;Soltero;29760;1;0;29/08/2012;79;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;0;165;49.5;8.25;0
2261;1969;Graduado;Casado;26304;1;0;23/06/2013;40;20;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0;32;9.6;2.91;0
5346;1973;Postgrado;Casado;23559;1;0;03/07/2013;38;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;0;79;23.7;4.94;0
4119;1963;Master;Conviviente;38620;0;0;11/05/2013;65;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;318;95.4;22.71;0
535;1987;Graduado;Divorciado;81361;0;0;25/02/2014;29;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;0;778;233.4;27.79;0
5268;1960;Graduado;Casado;29440;1;1;11/08/2013;34;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;0;56;16.8;4.00;0
273;1970;Master;Casado;36138;1;1;16/07/2013;77;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;50;151;60.3;7.55;1
4452;1957;Graduado;Soltero;50388;0;1;28/05/2014;67;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;100;372;141.6;15.50;1
8504;1973;Graduado;Casado;79593;0;0;12/05/2014;57;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;0;50;1366;424.8;65.05;1
